number,value,state,params_attention_head_size_v2,params_dropout,params_gradient_clip_val,params_hidden_continuous_size_v2,params_hidden_size_v2,params_learning_rate,user_attrs_best_checkpoint,user_attrs_effective_attention_head_size,user_attrs_effective_hidden_continuous_size,user_attrs_effective_hidden_size,user_attrs_effective_precision,user_attrs_hidden_continuous_size_adjusted_from,datetime_start,datetime_complete
0,0.007145389448851347,COMPLETE,1,0.10617534828874074,0.9729188669457949,8,16,0.0005611516415334506,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00000/checkpoints/best-epoch003-valloss0.007145.ckpt,1,8,16,16-mixed,,2026-04-15 00:31:00.296282,2026-04-15 00:33:09.789066
1,0.007143973372876644,COMPLETE,2,0.18764339456056545,0.4297256589643226,16,16,0.004622589001020831,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00001/checkpoints/best-epoch002-valloss0.007144.ckpt,2,16,16,16-mixed,,2026-04-15 00:33:09.955649,2026-04-15 00:34:43.431775
2,0.007150296587496996,COMPLETE,4,0.3896896099223679,0.827557613304815,24,16,0.000816845589476017,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00002/checkpoints/best-epoch003-valloss0.007150.ckpt,4,16,16,16-mixed,24.0,2026-04-15 00:34:43.579971,2026-04-15 00:36:02.327526
3,0.00716760940849781,COMPLETE,1,0.19351332282682332,0.5680612190600297,16,32,0.0004066563313514797,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00003/checkpoints/best-epoch003-valloss0.007168.ckpt,1,16,32,16-mixed,,2026-04-15 00:36:02.475157,2026-04-15 00:37:35.253098
4,0.007199607323855162,COMPLETE,1,0.11356818667316143,0.39279729768693794,8,32,0.0012399967836846098,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00004/checkpoints/best-epoch001-valloss0.007200.ckpt,1,8,32,16-mixed,,2026-04-15 00:37:35.400677,2026-04-15 00:39:02.894882
5,0.007147943135350943,COMPLETE,4,0.33167343078899725,0.2788441133807552,16,32,0.0005989003672254305,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00005/checkpoints/best-epoch002-valloss0.007148.ckpt,4,16,32,16-mixed,,2026-04-15 00:39:03.042561,2026-04-15 00:40:33.150596
6,0.007219593971967697,PRUNED,2,0.19926940745579477,0.1572025152574213,8,16,0.00010257563974185662,,2,8,16,,,2026-04-15 00:40:33.298928,2026-04-15 00:42:01.527127
7,0.007201653905212879,PRUNED,2,0.3312901539863683,0.5444160367279517,8,32,0.0004187594718900631,,2,8,32,,,2026-04-15 00:42:21.703477,2026-04-15 00:43:49.890249
8,0.007144539151340723,COMPLETE,2,0.22311487691068893,0.7799960246887438,16,16,0.0011103647313054626,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00008/checkpoints/best-epoch002-valloss0.007145.ckpt,2,16,16,16-mixed,,2026-04-15 00:44:10.069030,2026-04-15 00:45:24.422129
9,0.007235505152493715,PRUNED,1,0.3677676995469934,0.5854080177240857,8,32,0.00028681134821030097,,1,8,32,,,2026-04-15 00:45:24.571011,2026-04-15 00:46:51.313109
10,0.00719498423859477,COMPLETE,2,0.26968392720442097,0.38155183301991497,24,48,0.0076991759034630534,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00010/checkpoints/best-epoch001-valloss0.007195.ckpt,2,24,48,16-mixed,,2026-04-15 00:47:11.488773,2026-04-15 00:49:03.238491
11,0.007186128292232752,COMPLETE,2,0.21834932250953656,0.7726547685746882,16,16,0.004496707699035823,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00011/checkpoints/best-epoch001-valloss0.007186.ckpt,2,16,16,16-mixed,,2026-04-15 00:49:03.390369,2026-04-15 00:50:18.298795
12,0.007178883533924818,COMPLETE,2,0.15083387031649909,0.7323248089460846,16,16,0.0024822190589910364,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00012/checkpoints/best-epoch003-valloss0.007179.ckpt,2,16,16,16-mixed,,2026-04-15 00:50:18.451672,2026-04-15 00:51:33.946957
13,0.007177886087447405,COMPLETE,2,0.24640216988331323,0.9144468912130147,16,48,0.0019304990180680904,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00013/checkpoints/best-epoch001-valloss0.007178.ckpt,2,16,48,16-mixed,,2026-04-15 00:51:34.108427,2026-04-15 00:53:02.876948
14,0.007218524347990751,PRUNED,2,0.2768012831014245,0.694770152763058,16,16,0.009148651439030256,,2,16,16,,,2026-04-15 00:53:03.041670,2026-04-15 00:54:17.996762
15,0.007169239688664675,COMPLETE,2,0.1663631971505086,0.4532197771600985,16,16,0.003979652033697285,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00015/checkpoints/best-epoch001-valloss0.007169.ckpt,2,16,16,16-mixed,,2026-04-15 00:54:38.175643,2026-04-15 00:55:52.740581
16,0.0071646482683718204,COMPLETE,4,0.24207833895474215,0.23739273621408602,24,48,0.0015743145721997085,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00016/checkpoints/best-epoch000-valloss0.007165.ckpt,4,24,48,16-mixed,,2026-04-15 00:55:52.898560,2026-04-15 00:57:23.911775
17,0.007146910764276981,COMPLETE,2,0.1548966983161929,0.647640706212511,16,16,0.0037838163056520347,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00017/checkpoints/best-epoch002-valloss0.007147.ckpt,2,16,16,16-mixed,,2026-04-15 00:57:24.071173,2026-04-15 00:58:39.370609
18,0.0072236377745866776,PRUNED,2,0.30116354278146595,0.48972610584968257,16,16,0.00018015596595059326,,2,16,16,,,2026-04-15 00:58:39.536416,2026-04-15 00:59:54.329783
19,0.007176235318183899,COMPLETE,4,0.21435874999307844,0.8676977350868974,16,16,0.0026715424536354958,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00019/checkpoints/best-epoch001-valloss0.007176.ckpt,4,16,16,16-mixed,,2026-04-15 01:00:14.516901,2026-04-15 01:01:31.670136
20,0.007278960198163986,PRUNED,2,0.17988670040814508,0.3242060914321535,24,48,0.005945198334787825,,2,24,48,,,2026-04-15 01:01:31.831657,2026-04-15 01:03:00.649368
21,0.007138879504054785,COMPLETE,1,0.1102818320440359,0.9988145898003918,8,16,0.0008772832813432176,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00021/checkpoints/best-epoch003-valloss0.007139.ckpt,1,8,16,16-mixed,,2026-04-15 01:03:20.829779,2026-04-15 01:04:47.946558
22,0.007139109540730715,COMPLETE,1,0.13543122095529586,0.9803212290036198,8,16,0.001042190029880859,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00022/checkpoints/best-epoch002-valloss0.007139.ckpt,1,8,16,16-mixed,,2026-04-15 01:04:48.103348,2026-04-15 01:06:15.477891
23,0.007138704881072044,COMPLETE,1,0.11634820049931835,0.9296578403468826,8,16,0.0008128517651388327,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00023/checkpoints/best-epoch003-valloss0.007139.ckpt,1,8,16,16-mixed,,2026-04-15 01:06:15.645033,2026-04-15 01:07:42.869439
24,0.007170158438384533,COMPLETE,1,0.1307445826089878,0.9851414902244746,8,16,0.0007306604028787645,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00024/checkpoints/best-epoch003-valloss0.007170.ckpt,1,8,16,16-mixed,,2026-04-15 01:07:43.034069,2026-04-15 01:09:10.302055
25,0.007169686257839203,COMPLETE,1,0.1373798761210113,0.9131580117017282,8,16,0.0010043419973990116,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00025/checkpoints/best-epoch002-valloss0.007170.ckpt,1,8,16,16-mixed,,2026-04-15 01:09:10.469647,2026-04-15 01:10:37.489326
26,0.007153137121349573,COMPLETE,1,0.10371910157213057,0.9213988446063806,8,16,0.001637598502707415,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00026/checkpoints/best-epoch001-valloss0.007153.ckpt,1,8,16,16-mixed,,2026-04-15 01:10:37.639996,2026-04-15 01:12:05.072210
